Year,"Age population, age 00, female, interpolated","Age population, age 00, male, interpolated","Fertility rate, total (births per woman)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)","Life expectancy at birth, male (years)","Life expectancy at birth, female (years)",Population,Male,Female,City,Countryside,BirthRate,DeathRate,GrowthRate
1960,8523983.5,8996205.5,4.451,598.591,482.386,32.11,34.615,66207,34283,31924,13073,53134,20.86,25.43,-4.57
1961,7816617.5,8252056.5,3.863,521.116,410.621,38.982,42.148,65859,33880,31979,12707,53152,18.13,14.33,3.8
1962,9818693.0,10371405.0,6.085,420.312,319.608,48.813,53.04,67296,34517,32778,11659,55636,37.22,10.08,27.14
1963,13697850.0,14473485.0,7.513,410.834,313.046,49.407,53.608,69172,35533,33639,11646,57526,43.6,10.1,33.5
1964,14465848.5,15287711.0,6.672,399.342,304.531,50.157,54.337,70499,36142,34357,12950,57549,39.34,11.56,27.78
1965,13750428.0,14535716.5,6.605,388.835,294.639,50.868,55.135,72538,37128,35410,13045,59493,38.0,9.5,28.5
1966,13590675.0,14371397.5,6.307,376.496,287.47,51.639,55.786,74542,38189,36353,13313,61229,35.21,8.87,26.34
1967,13001359.0,13752755.5,5.806,364.6,278.798,52.37,56.466,76368,39115,37253,13548,62820,34.12,8.47,25.65
1968,13548245.5,14334612.5,6.508,352.332,270.363,53.106,57.123,78534,40226,38308,13838,64696,35.75,8.25,27.5
1969,14332424.0,15169459.0,6.175,341.615,262.09,53.804,57.774,80671,41289,39382,14117,66554,34.25,8.06,26.19
1970,14327549.0,15174102.5,6.085,329.202,252.61,54.685,58.617,82992,42686,40306,14424,68568,33.59,7.64,25.95
1971,14090279.0,14924111.5,5.523,314.247,242.725,55.703,59.487,85229,43819,41410,14711,70518,30.74,7.34,23.4
1972,13433681.0,14223812.5,5.112,303.547,232.659,56.525,60.367,87177,44813,42364,14935,72242,29.92,7.65,22.27
1973,12967408.0,13727303.0,4.726,291.178,220.422,57.449,61.382,89211,45876,43335,15345,73866,28.07,7.08,20.99
1974,12319314.0,13044432.5,4.17,284.181,210.939,58.123,62.282,90859,46727,44132,15595,75264,24.95,7.38,17.57
1975,11258304.0,11931458.0,3.571,276.353,202.972,58.823,63.084,92420,47564,44856,16030,76390,23.13,7.36,15.77
1976,10397933.0,11032314.5,3.235,266.479,194.472,59.692,63.97,93717,48257,45460,16341,77376,20.01,7.29,12.72
1977,9772591.0,10380078.5,2.844,258.409,186.93,60.402,64.747,94974,48908,46066,16669,78305,19.03,6.91,12.12
1978,9380996.5,9974473.0,2.716,251.498,180.24,61.05,65.463,96259,49567,46692,17245,79014,18.25,6.25,12.0
1979,9620697.0,10240984.5,2.745,244.515,173.98,61.677,66.133,97542,50192,47350,18495,79047,17.82,6.21,11.61
1980,10035232.5,10695841.0,2.739,238.711,168.287,62.206,66.719,98705,50785,47920,19140,79565,18.21,6.34,11.87
1981,10413679.0,11115855.0,2.792,232.629,162.328,62.737,67.305,100072,51519,48553,20171,79901,20.91,6.36,14.55
1982,11049189.0,11816284.0,2.972,226.952,156.96,63.212,67.807,101654,52352,49302,21480,80174,22.28,6.6,15.68
1983,10817444.5,11594850.5,2.559,221.976,151.661,63.623,68.287,103008,53152,49856,22274,80734,20.19,6.9,13.29
1984,10427126.0,11211792.0,2.607,216.668,147.032,64.017,68.687,104357,53848,50509,24017,80340,19.9,6.82,13.08
