Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
China,CHN,1960,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,51.059
China,CHN,1960,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,482.386
China,CHN,1960,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,598.591
China,CHN,1960,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,34.615
China,CHN,1960,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,32.11
China,CHN,1960,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.451
China,CHN,1960,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,23.309844
China,CHN,1960,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,15.889074
China,CHN,1960,"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,11.0214
China,CHN,1960,"Life expectancy at age 60, male (years)",SP.DYN.LE60.MA.IN,8.9067
China,CHN,1960,"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN,8523983.5
China,CHN,1960,"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN,8996205.5
China,CHN,1960,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,8965309
China,CHN,1960,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,9470084
China,CHN,1960,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,10211415.5
China,CHN,1960,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,10763083
China,CHN,1960,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,10256016
China,CHN,1960,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,10796035.5
China,CHN,1960,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,9963591
China,CHN,1960,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,10473172
China,CHN,1960,"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,10066943.5
